x_m,y_m,z_m
0.000000,0.000000,0.000000
0.258883,0.625000,0.000000
0.517767,1.250000,0.000000
0.776650,1.875000,0.000000
1.035534,2.500000,0.000000
4.035534,2.500000,0.000000
4.276650,1.875000,0.000000
4.517767,1.250000,0.000000
4.758883,0.625000,0.000000
5.000000,0.000000,0.000000
4.758883,-0.625000,0.000000
4.517767,-1.250000,0.000000
4.276650,-1.875000,0.000000
4.035534,-2.500000,0.000000
1.035534,-2.500000,0.000000
0.776650,-1.875000,0.000000
0.517767,-1.250000,0.000000
0.258883,-0.625000,0.000000
0.000000,0.000000,0.000000
