epoch,mAP50,mAP50_95,precision,recall,train_box,train_cls,train_dfl,val_box,val_cls,val_dfl,time_s,gpu,label
1,0.589900,0.316060,0.749030,0.535820,1.309400,0.674990,0.867170,1.334950,0.671850,0.880230,117.957,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
2,0.590900,0.317550,0.741350,0.538860,1.303950,0.653860,0.863450,1.323850,0.677070,0.879070,232.226,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
3,0.589280,0.316270,0.737660,0.537790,1.303810,0.657760,0.865390,1.332260,0.681390,0.880330,355.584,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
4,0.591910,0.317580,0.735230,0.541130,1.305350,0.660630,0.865840,1.324150,0.674680,0.879570,478.387,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
5,0.597790,0.320030,0.742280,0.542020,1.299660,0.655730,0.865640,1.318780,0.679050,0.879630,604.687,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
6,0.595980,0.318840,0.746480,0.541190,1.305560,0.659070,0.864500,1.326330,0.682470,0.880490,727.707,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
7,0.595770,0.318100,0.741540,0.543320,1.304330,0.658190,0.865380,1.329290,0.674840,0.878730,849.617,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
8,0.596300,0.318400,0.745170,0.540400,1.301730,0.653650,0.864640,1.328800,0.675510,0.878410,971.764,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
9,0.595320,0.320300,0.744750,0.542230,1.302330,0.655560,0.863850,1.324490,0.675330,0.880150,1093.920,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
10,0.593920,0.318270,0.740350,0.538630,1.295400,0.650160,0.862390,1.332720,0.676690,0.880770,1229.370,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
11,0.594730,0.318710,0.743780,0.539850,1.292120,0.649430,0.863140,1.325420,0.674330,0.878620,1375.390,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
12,0.599550,0.320600,0.746200,0.542140,1.297890,0.651740,0.864000,1.328540,0.673630,0.878960,1521.560,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
13,0.599400,0.320820,0.738780,0.548110,1.286030,0.644300,0.862930,1.328910,0.675330,0.879110,1667.200,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
14,0.598420,0.320850,0.748300,0.540150,1.286250,0.644660,0.861580,1.325970,0.669020,0.879390,1793.110,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
15,0.599730,0.322210,0.738290,0.546780,1.290350,0.645460,0.860530,1.313950,0.668010,0.878430,1906.310,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
16,0.600360,0.323500,0.752790,0.542810,1.281010,0.640310,0.860550,1.314440,0.665720,0.876770,2014.010,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
17,0.598680,0.321150,0.737730,0.546420,1.269680,0.635560,0.859620,1.323350,0.669710,0.879450,2120.770,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
18,0.599970,0.321680,0.737260,0.548550,1.280620,0.638090,0.860060,1.313760,0.668470,0.876490,2227.240,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
19,0.596980,0.319760,0.739410,0.545700,1.281730,0.636800,0.858960,1.329170,0.669920,0.880950,2333.120,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
20,0.597710,0.321420,0.742010,0.544700,1.276080,0.636160,0.858740,1.322690,0.669060,0.879770,2439.710,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
21,0.595640,0.321590,0.743280,0.541360,1.278950,0.635410,0.857480,1.315350,0.666660,0.876670,2546.010,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
22,0.597480,0.320840,0.741960,0.542710,1.272440,0.631500,0.857590,1.319400,0.664590,0.878440,2652.110,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
23,0.598360,0.321130,0.744800,0.542480,1.278380,0.632610,0.856640,1.320250,0.665900,0.878230,2758.100,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
24,0.601750,0.323430,0.747650,0.544610,1.265880,0.626770,0.856320,1.315660,0.665990,0.876630,2883.300,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
25,0.599890,0.321650,0.744860,0.544400,1.268090,0.627110,0.855940,1.323570,0.668750,0.878540,3024.330,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
26,0.598910,0.322480,0.747240,0.544380,1.264790,0.626330,0.857140,1.314000,0.662180,0.875870,3164.700,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
27,0.597940,0.322030,0.741480,0.545970,1.266150,0.625690,0.855720,1.317640,0.664770,0.878000,3305.320,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
28,0.599340,0.321310,0.747140,0.542290,1.255790,0.620580,0.855760,1.320460,0.664620,0.878220,3446.050,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
29,0.601460,0.323850,0.750970,0.544360,1.259990,0.621620,0.854750,1.317240,0.661340,0.876200,3586.680,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
30,0.603130,0.323860,0.750750,0.547520,1.258680,0.621100,0.854080,1.315900,0.660270,0.877880,3728.400,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
31,0.599790,0.323410,0.747570,0.545350,1.251930,0.616040,0.853470,1.316270,0.659500,0.879060,3869.510,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
32,0.601220,0.324410,0.748930,0.546050,1.255210,0.617540,0.853840,1.314730,0.661770,0.878580,4010.490,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
33,0.600490,0.323310,0.752760,0.544450,1.257820,0.617140,0.853410,1.318250,0.661520,0.878290,4151.900,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
34,0.601740,0.323270,0.749370,0.545310,1.245340,0.612530,0.854520,1.315220,0.661750,0.878680,4292.880,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
35,0.602850,0.323560,0.741020,0.550940,1.241610,0.610420,0.852950,1.315130,0.660230,0.878540,4433.150,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
36,0.604850,0.324410,0.751520,0.549810,1.241820,0.609720,0.852520,1.318690,0.660130,0.878490,4573.940,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
37,0.606520,0.326640,0.748250,0.551970,1.243660,0.608850,0.852100,1.308380,0.656950,0.876810,4714.990,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
38,0.604140,0.324930,0.748870,0.548770,1.236830,0.604540,0.850430,1.312350,0.656800,0.878090,4856.060,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
39,0.607770,0.327320,0.751420,0.552800,1.243640,0.608250,0.849710,1.310140,0.655260,0.877310,4997.530,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
40,0.604440,0.325270,0.751660,0.548080,1.233900,0.604250,0.850160,1.313510,0.657200,0.877700,5139.250,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
41,0.603430,0.325080,0.752910,0.548530,1.234390,0.602350,0.849500,1.315240,0.656750,0.879620,5280.400,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
42,0.606800,0.326580,0.756880,0.549410,1.240850,0.605170,0.850750,1.313050,0.655530,0.878450,5421.860,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
43,0.605000,0.325870,0.756070,0.549000,1.235380,0.601500,0.849140,1.313380,0.654810,0.877810,5563.070,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
44,0.607350,0.327910,0.747110,0.555190,1.232600,0.600440,0.848390,1.304840,0.653770,0.877770,5703.720,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
45,0.607400,0.325730,0.748180,0.553330,1.232320,0.600840,0.849110,1.315330,0.657510,0.878370,5844.040,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
46,0.607210,0.327600,0.750240,0.553170,1.227560,0.597880,0.848530,1.307060,0.654110,0.877980,5984.310,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
47,0.606890,0.326190,0.748680,0.553550,1.229630,0.597920,0.848340,1.312030,0.654620,0.878450,6124.580,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
48,0.606930,0.326870,0.749730,0.552640,1.222760,0.595690,0.847840,1.309410,0.653620,0.878220,6265.280,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
49,0.606320,0.326670,0.748770,0.552530,1.218080,0.592590,0.846420,1.312630,0.653720,0.878190,6405.560,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
50,0.606800,0.327470,0.746510,0.554080,1.218270,0.591420,0.846920,1.309720,0.654990,0.877080,6545.960,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
51,0.602180,0.324090,0.750260,0.544700,1.187030,0.576450,0.846490,1.318480,0.658150,0.879510,6701.600,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
52,0.603710,0.323980,0.749430,0.547740,1.174760,0.567580,0.844590,1.323450,0.659390,0.880800,6838.360,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
53,0.603570,0.324790,0.744710,0.549690,1.171160,0.565340,0.844310,1.315590,0.657290,0.879000,6975.320,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
54,0.603660,0.324950,0.750190,0.548390,1.165810,0.561440,0.843690,1.317700,0.656690,0.879890,7112.390,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
55,0.604720,0.324830,0.748970,0.548970,1.166510,0.561300,0.843230,1.318840,0.657450,0.880210,7248.790,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
56,0.606140,0.325670,0.747330,0.551300,1.161170,0.558520,0.842760,1.315620,0.656610,0.879200,7385.540,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
57,0.604390,0.325530,0.747400,0.550000,1.158770,0.557270,0.842470,1.316410,0.656010,0.879880,7521.640,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
58,0.605710,0.325580,0.750870,0.549180,1.159330,0.557000,0.840950,1.319160,0.656700,0.880150,7658.220,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
59,0.606110,0.325950,0.753170,0.548050,1.154800,0.554360,0.842720,1.316230,0.655090,0.879710,7794.550,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
60,0.605940,0.325660,0.750240,0.549580,1.155550,0.554480,0.841650,1.316600,0.655140,0.879780,7930.220,NVIDIA GeForce RTX 2080 SUPER 8GB,rtx2080_super
