epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.957,1.3094,0.67499,0.86717,0.74903,0.53582,0.5899,0.31606,1.33495,0.67185,0.88023,0.000195818,0.000195818,0.000195818
2,232.226,1.30395,0.65386,0.86345,0.74135,0.53886,0.5909,0.31755,1.32385,0.67707,0.87907,0.000385353,0.000385353,0.000385353
3,355.584,1.30381,0.65776,0.86539,0.73766,0.53779,0.58928,0.31627,1.33226,0.68139,0.88033,0.00056842,0.00056842,0.00056842
4,478.387,1.30535,0.66063,0.86584,0.73523,0.54113,0.59191,0.31758,1.32415,0.67468,0.87957,0.000558894,0.000558894,0.000558894
5,604.687,1.29966,0.65573,0.86564,0.74228,0.54202,0.59779,0.32003,1.31878,0.67905,0.87963,0.000549192,0.000549192,0.000549192
6,727.707,1.30556,0.65907,0.8645,0.74648,0.54119,0.59598,0.31884,1.32633,0.68247,0.88049,0.00053949,0.00053949,0.00053949
7,849.617,1.30433,0.65819,0.86538,0.74154,0.54332,0.59577,0.3181,1.32929,0.67484,0.87873,0.000529788,0.000529788,0.000529788
8,971.764,1.30173,0.65365,0.86464,0.74517,0.5404,0.5963,0.3184,1.3288,0.67551,0.87841,0.000520086,0.000520086,0.000520086
9,1093.92,1.30233,0.65556,0.86385,0.74475,0.54223,0.59532,0.3203,1.32449,0.67533,0.88015,0.000510384,0.000510384,0.000510384
10,1229.37,1.2954,0.65016,0.86239,0.74035,0.53863,0.59392,0.31827,1.33272,0.67669,0.88077,0.000500682,0.000500682,0.000500682
11,1375.39,1.29212,0.64943,0.86314,0.74378,0.53985,0.59473,0.31871,1.32542,0.67433,0.87862,0.00049098,0.00049098,0.00049098
12,1521.56,1.29789,0.65174,0.864,0.7462,0.54214,0.59955,0.3206,1.32854,0.67363,0.87896,0.000481278,0.000481278,0.000481278
13,1667.2,1.28603,0.6443,0.86293,0.73878,0.54811,0.5994,0.32082,1.32891,0.67533,0.87911,0.000471576,0.000471576,0.000471576
14,1793.11,1.28625,0.64466,0.86158,0.7483,0.54015,0.59842,0.32085,1.32597,0.66902,0.87939,0.000461874,0.000461874,0.000461874
15,1906.31,1.29035,0.64546,0.86053,0.73829,0.54678,0.59973,0.32221,1.31395,0.66801,0.87843,0.000452172,0.000452172,0.000452172
16,2014.01,1.28101,0.64031,0.86055,0.75279,0.54281,0.60036,0.3235,1.31444,0.66572,0.87677,0.00044247,0.00044247,0.00044247
17,2120.77,1.26968,0.63556,0.85962,0.73773,0.54642,0.59868,0.32115,1.32335,0.66971,0.87945,0.000432768,0.000432768,0.000432768
18,2227.24,1.28062,0.63809,0.86006,0.73726,0.54855,0.59997,0.32168,1.31376,0.66847,0.87649,0.000423066,0.000423066,0.000423066
19,2333.12,1.28173,0.6368,0.85896,0.73941,0.5457,0.59698,0.31976,1.32917,0.66992,0.88095,0.000413364,0.000413364,0.000413364
20,2439.71,1.27608,0.63616,0.85874,0.74201,0.5447,0.59771,0.32142,1.32269,0.66906,0.87977,0.000403662,0.000403662,0.000403662
21,2546.01,1.27895,0.63541,0.85748,0.74328,0.54136,0.59564,0.32159,1.31535,0.66666,0.87667,0.00039396,0.00039396,0.00039396
22,2652.11,1.27244,0.6315,0.85759,0.74196,0.54271,0.59748,0.32084,1.3194,0.66459,0.87844,0.000384258,0.000384258,0.000384258
23,2758.1,1.27838,0.63261,0.85664,0.7448,0.54248,0.59836,0.32113,1.32025,0.6659,0.87823,0.000374556,0.000374556,0.000374556
24,2883.3,1.26588,0.62677,0.85632,0.74765,0.54461,0.60175,0.32343,1.31566,0.66599,0.87663,0.000364854,0.000364854,0.000364854
25,3024.33,1.26809,0.62711,0.85594,0.74486,0.5444,0.59989,0.32165,1.32357,0.66875,0.87854,0.000355152,0.000355152,0.000355152
26,3164.7,1.26479,0.62633,0.85714,0.74724,0.54438,0.59891,0.32248,1.314,0.66218,0.87587,0.00034545,0.00034545,0.00034545
27,3305.32,1.26615,0.62569,0.85572,0.74148,0.54597,0.59794,0.32203,1.31764,0.66477,0.878,0.000335748,0.000335748,0.000335748
