epoch,mAP50,mAP50_95,precision,recall,train_box,train_cls,train_dfl,val_box,val_cls,val_dfl,time_s,gpu,label
1,0.604850,0.326590,0.739890,0.541470,1.354760,0.780820,0.897200,1.514380,1.264760,1.409250,40.792,NVIDIA RTX PRO 6000 Blackwell ~97GB,rtx6000_blackwell_v2
2,0.625020,0.339680,0.750220,0.549250,1.346260,0.714620,0.897130,1.485130,1.116600,1.361860,79.266,NVIDIA RTX PRO 6000 Blackwell ~97GB,rtx6000_blackwell_v2
3,0.633620,0.348490,0.765420,0.562280,1.353990,0.723810,0.903130,1.445070,1.038600,1.345210,117.543,NVIDIA RTX PRO 6000 Blackwell ~97GB,rtx6000_blackwell_v2
4,0.640400,0.351600,0.759990,0.574860,1.360260,0.732700,0.905510,1.456400,0.984110,1.377790,156.149,NVIDIA RTX PRO 6000 Blackwell ~97GB,rtx6000_blackwell_v2
5,0.652310,0.365760,0.768610,0.592250,1.356560,0.723770,0.904310,1.394460,0.935890,1.292440,194.596,NVIDIA RTX PRO 6000 Blackwell ~97GB,rtx6000_blackwell_v2
6,0.657180,0.369800,0.763360,0.596990,1.344470,0.710820,0.901400,1.378050,0.877050,1.294930,233.058,NVIDIA RTX PRO 6000 Blackwell ~97GB,rtx6000_blackwell_v2
7,0.672590,0.378120,0.784150,0.612640,1.339560,0.707170,0.902460,1.349780,0.820290,1.259720,271.252,NVIDIA RTX PRO 6000 Blackwell ~97GB,rtx6000_blackwell_v2
8,0.673000,0.377980,0.785040,0.608160,1.342940,0.707410,0.899290,1.356820,0.841040,1.280390,309.628,NVIDIA RTX PRO 6000 Blackwell ~97GB,rtx6000_blackwell_v2
9,0.673160,0.378300,0.790680,0.613000,1.327000,0.693270,0.896470,1.369080,0.820880,1.272910,348.121,NVIDIA RTX PRO 6000 Blackwell ~97GB,rtx6000_blackwell_v2
10,0.672430,0.380950,0.777760,0.610840,1.323740,0.692640,0.895970,1.342390,0.797150,1.261280,386.504,NVIDIA RTX PRO 6000 Blackwell ~97GB,rtx6000_blackwell_v2
11,0.677030,0.387380,0.786500,0.617350,1.322740,0.687490,0.894300,1.296560,0.773810,1.227840,425.014,NVIDIA RTX PRO 6000 Blackwell ~97GB,rtx6000_blackwell_v2
12,0.672510,0.384020,0.791700,0.611520,1.309430,0.678720,0.890890,1.332580,0.786880,1.255700,463.603,NVIDIA RTX PRO 6000 Blackwell ~97GB,rtx6000_blackwell_v2
13,0.683210,0.392290,0.786740,0.621740,1.307630,0.678030,0.890630,1.296220,0.764740,1.226640,502.272,NVIDIA RTX PRO 6000 Blackwell ~97GB,rtx6000_blackwell_v2
14,0.687930,0.390510,0.798110,0.626090,1.308070,0.675670,0.891760,1.322700,0.760880,1.227990,540.916,NVIDIA RTX PRO 6000 Blackwell ~97GB,rtx6000_blackwell_v2
15,0.685030,0.393010,0.784900,0.629780,1.304790,0.672640,0.888610,1.311150,0.765690,1.233840,579.122,NVIDIA RTX PRO 6000 Blackwell ~97GB,rtx6000_blackwell_v2
