epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.792,1.35476,0.78082,0.8972,0.73989,0.54147,0.60485,0.32659,1.51438,1.26476,1.40925,0.000195075,0.000195075,0.000195075
2,79.2656,1.34626,0.71462,0.89713,0.75022,0.54925,0.62502,0.33968,1.48513,1.1166,1.36186,0.000381396,0.000381396,0.000381396
3,117.543,1.35399,0.72381,0.90313,0.76542,0.56228,0.63362,0.34849,1.44507,1.0386,1.34521,0.000558015,0.000558015,0.000558015
4,156.149,1.36026,0.7327,0.90551,0.75999,0.57486,0.6404,0.3516,1.4564,0.98411,1.37779,0.000544341,0.000544341,0.000544341
5,194.596,1.35656,0.72377,0.90431,0.76861,0.59225,0.65231,0.36576,1.39446,0.93589,1.29244,0.000529788,0.000529788,0.000529788
6,233.058,1.34447,0.71082,0.9014,0.76336,0.59699,0.65718,0.3698,1.37805,0.87705,1.29493,0.000515235,0.000515235,0.000515235
7,271.252,1.33956,0.70717,0.90246,0.78415,0.61264,0.67259,0.37812,1.34978,0.82029,1.25972,0.000500682,0.000500682,0.000500682
8,309.628,1.34294,0.70741,0.89929,0.78504,0.60816,0.673,0.37798,1.35682,0.84104,1.28039,0.000486129,0.000486129,0.000486129
9,348.121,1.327,0.69327,0.89647,0.79068,0.613,0.67316,0.3783,1.36908,0.82088,1.27291,0.000471576,0.000471576,0.000471576
10,386.504,1.32374,0.69264,0.89597,0.77776,0.61084,0.67243,0.38095,1.34239,0.79715,1.26128,0.000457023,0.000457023,0.000457023
11,425.014,1.32274,0.68749,0.8943,0.7865,0.61735,0.67703,0.38738,1.29656,0.77381,1.22784,0.00044247,0.00044247,0.00044247
12,463.603,1.30943,0.67872,0.89089,0.7917,0.61152,0.67251,0.38402,1.33258,0.78688,1.2557,0.000427917,0.000427917,0.000427917
13,502.272,1.30763,0.67803,0.89063,0.78674,0.62174,0.68321,0.39229,1.29622,0.76474,1.22664,0.000413364,0.000413364,0.000413364
14,540.916,1.30807,0.67567,0.89176,0.79811,0.62609,0.68793,0.39051,1.3227,0.76088,1.22799,0.000398811,0.000398811,0.000398811
15,579.122,1.30479,0.67264,0.88861,0.7849,0.62978,0.68503,0.39301,1.31115,0.76569,1.23384,0.000384258,0.000384258,0.000384258
16,617.484,1.30237,0.66916,0.8902,0.79714,0.62707,0.69331,0.39955,1.27275,0.71954,1.21208,0.000369705,0.000369705,0.000369705
17,656.276,1.29234,0.6641,0.88756,0.80597,0.62381,0.68776,0.39948,1.26574,0.7421,1.19979,0.000355152,0.000355152,0.000355152
18,695.019,1.28606,0.65961,0.88593,0.78407,0.63277,0.68856,0.39474,1.3207,0.72783,1.25475,0.000340599,0.000340599,0.000340599
19,733.441,1.27771,0.65354,0.88472,0.78704,0.63694,0.69223,0.40106,1.28168,0.71853,1.20585,0.000326046,0.000326046,0.000326046
20,772.193,1.27927,0.65288,0.88438,0.80126,0.63935,0.6971,0.40529,1.26524,0.71199,1.20362,0.000311493,0.000311493,0.000311493
21,810.986,1.27398,0.64776,0.88293,0.80554,0.63766,0.6976,0.4028,1.28907,0.71323,1.21282,0.00029694,0.00029694,0.00029694
22,849.417,1.26705,0.64498,0.88093,0.81452,0.63596,0.70057,0.40713,1.28005,0.69038,1.21095,0.000282387,0.000282387,0.000282387
23,888.135,1.25854,0.63742,0.87917,0.80842,0.63893,0.69875,0.4064,1.28203,0.68714,1.21715,0.000267834,0.000267834,0.000267834
24,926.497,1.27217,0.64237,0.88018,0.79776,0.6422,0.69884,0.40809,1.2597,0.67941,1.19633,0.000253281,0.000253281,0.000253281
25,964.773,1.25555,0.63374,0.87852,0.79958,0.64883,0.70349,0.40963,1.28627,0.6687,1.21396,0.000238728,0.000238728,0.000238728
26,1003.21,1.25172,0.63049,0.87826,0.80729,0.64617,0.70351,0.41126,1.27106,0.66576,1.19779,0.000224175,0.000224175,0.000224175
27,1041.6,1.247,0.62893,0.87714,0.80858,0.6485,0.70307,0.41072,1.26505,0.65991,1.19947,0.000209622,0.000209622,0.000209622
28,1079.88,1.24492,0.62427,0.87544,0.79928,0.64653,0.70069,0.40825,1.27303,0.66204,1.20224,0.000195069,0.000195069,0.000195069
29,1118.46,1.24109,0.62219,0.87427,0.8102,0.64605,0.70515,0.41243,1.25861,0.65408,1.1917,0.000180516,0.000180516,0.000180516
30,1157.13,1.23473,0.61862,0.87214,0.81979,0.64619,0.70716,0.41332,1.26643,0.64484,1.19298,0.000165963,0.000165963,0.000165963
31,1195.99,1.18791,0.5865,0.87142,0.8055,0.65054,0.70508,0.41405,1.25503,0.65159,1.19612,0.00015141,0.00015141,0.00015141
32,1233.67,1.18084,0.57915,0.86881,0.80734,0.65011,0.70561,0.41414,1.25452,0.64424,1.18911,0.000136857,0.000136857,0.000136857
33,1271.44,1.17219,0.57417,0.86728,0.81054,0.65277,0.70793,0.41645,1.24293,0.63091,1.18271,0.000122304,0.000122304,0.000122304
34,1309.19,1.16575,0.57016,0.86586,0.80302,0.65735,0.70831,0.41663,1.24565,0.63524,1.19016,0.000107751,0.000107751,0.000107751
35,1346.85,1.16021,0.56595,0.86474,0.81105,0.65316,0.70832,0.41692,1.24484,0.62419,1.1936,9.3198e-05,9.3198e-05,9.3198e-05
36,1384.48,1.15724,0.56231,0.86326,0.81344,0.65353,0.70783,0.41747,1.24579,0.62055,1.19561,7.8645e-05,7.8645e-05,7.8645e-05
37,1422.28,1.15444,0.56142,0.86209,0.81185,0.65468,0.70904,0.41835,1.24198,0.61665,1.1949,6.4092e-05,6.4092e-05,6.4092e-05
38,1460,1.15115,0.55873,0.86071,0.81384,0.65469,0.70846,0.41906,1.2418,0.61372,1.19486,4.9539e-05,4.9539e-05,4.9539e-05
39,1497.57,1.14164,0.55377,0.86004,0.81119,0.65729,0.70938,0.41945,1.24169,0.61123,1.19708,3.4986e-05,3.4986e-05,3.4986e-05
40,1535.3,1.13879,0.55125,0.85984,0.81518,0.65564,0.70863,0.41969,1.24354,0.61073,1.20139,2.0433e-05,2.0433e-05,2.0433e-05
